Week of,Weekly U.S. No 2 Diesel Retail Prices Dollars per Gallon
2016-01-04,2.211
2016-01-11,2.177
2016-01-18,2.112
2016-01-25,2.0709999999999997
2016-02-01,2.031
2016-02-08,2.008
2016-02-15,1.98
2016-02-22,1.983
2016-02-29,1.989
2016-03-07,2.021
2016-03-14,2.099
2016-03-21,2.119
2016-03-28,2.121
2016-04-04,2.115
2016-04-11,2.128
2016-04-18,2.165
2016-04-25,2.198
2016-05-02,2.266
2016-05-09,2.271
2016-05-16,2.2969999999999997
2016-05-23,2.3569999999999998
2016-05-30,2.3819999999999997
2016-06-06,2.407
2016-06-13,2.431
2016-06-20,2.426
2016-06-27,2.426
2016-07-04,2.423
2016-07-11,2.414
2016-07-18,2.4019999999999997
2016-07-25,2.379
2016-08-01,2.3480000000000003
2016-08-08,2.316
2016-08-15,2.31
2016-08-22,2.37
2016-08-29,2.4090000000000003
2016-09-05,2.407
2016-09-12,2.399
2016-09-19,2.3890000000000002
2016-09-26,2.3819999999999997
2016-10-03,2.3890000000000002
2016-10-10,2.445
2016-10-17,2.481
2016-10-24,2.478
2016-10-31,2.479
2016-11-07,2.47
2016-11-14,2.443
2016-11-21,2.421
2016-11-28,2.42
2016-12-05,2.48
2016-12-12,2.4930000000000003
2016-12-19,2.5269999999999997
2016-12-26,2.54
2017-01-02,2.5860000000000003
2017-01-09,2.597
2017-01-16,2.585
2017-01-23,2.569
2017-01-30,2.562
2017-02-06,2.5580000000000003
2017-02-13,2.565
2017-02-20,2.572
2017-02-27,2.577
2017-03-06,2.5789999999999997
2017-03-13,2.5639999999999996
2017-03-20,2.539
2017-03-27,2.532
2017-04-03,2.556
2017-04-10,2.582
2017-04-17,2.597
2017-04-24,2.595
2017-05-01,2.583
2017-05-08,2.565
2017-05-15,2.544
2017-05-22,2.539
2017-05-29,2.571
2017-06-05,2.5639999999999996
2017-06-12,2.524
2017-06-19,2.489
2017-06-26,2.465
2017-07-03,2.472
2017-07-10,2.481
2017-07-17,2.491
2017-07-24,2.5069999999999997
2017-07-31,2.531
2017-08-07,2.5810000000000004
2017-08-14,2.5980000000000003
2017-08-21,2.596
2017-08-28,2.605
2017-09-04,2.758
2017-09-11,2.802
2017-09-18,2.7910000000000004
2017-09-25,2.7880000000000003
2017-10-02,2.792
2017-10-09,2.7760000000000002
2017-10-16,2.787
2017-10-23,2.7969999999999997
2017-10-30,2.819
2017-11-06,2.8819999999999997
2017-11-13,2.915
2017-11-20,2.912
2017-11-27,2.926
2017-12-04,2.9219999999999997
2017-12-11,2.91
2017-12-18,2.9010000000000002
2017-12-25,2.903
2018-01-01,2.9730000000000003
2018-01-08,2.9960000000000004
2018-01-15,3.028
2018-01-22,3.025
2018-01-29,3.07
2018-02-05,3.0860000000000003
2018-02-12,3.063
2018-02-19,3.0269999999999997
2018-02-26,3.0069999999999997
2018-03-05,2.992
2018-03-12,2.9760000000000004
2018-03-19,2.972
2018-03-26,3.01
2018-04-02,3.042
2018-04-09,3.043
2018-04-16,3.1039999999999996
2018-04-23,3.133
2018-04-30,3.157
2018-05-07,3.1710000000000003
2018-05-14,3.239
2018-05-21,3.2769999999999997
2018-05-28,3.2880000000000003
2018-06-04,3.285
2018-06-11,3.266
2018-06-18,3.2439999999999998
2018-06-25,3.216
2018-07-02,3.236
2018-07-09,3.2430000000000003
2018-07-16,3.239
2018-07-23,3.22
2018-07-30,3.2260000000000004
2018-08-06,3.2230000000000003
2018-08-13,3.217
2018-08-20,3.207
2018-08-27,3.2260000000000004
2018-09-03,3.252
2018-09-10,3.258
2018-09-17,3.2680000000000002
2018-09-24,3.2710000000000004
2018-10-01,3.313
2018-10-08,3.385
2018-10-15,3.3939999999999997
2018-10-22,3.38
2018-10-29,3.355
2018-11-05,3.338
2018-11-12,3.3169999999999997
2018-11-19,3.282
2018-11-26,3.261
2018-12-03,3.207
2018-12-10,3.161
2018-12-17,3.1210000000000004
2018-12-24,3.077
2018-12-31,3.048
2019-01-07,3.013
2019-01-14,2.9760000000000004
2019-01-21,2.965
2019-01-28,2.965
2019-02-04,2.966
2019-02-11,2.966
2019-02-18,3.0060000000000002
2019-02-25,3.048
2019-03-04,3.076
2019-03-11,3.0789999999999997
2019-03-18,3.07
2019-03-25,3.08
2019-04-01,3.0780000000000003
2019-04-08,3.093
2019-04-15,3.1180000000000003
2019-04-22,3.147
2019-04-29,3.1689999999999996
2019-05-06,3.1710000000000003
2019-05-13,3.16
2019-05-20,3.1630000000000003
2019-05-27,3.1510000000000002
2019-06-03,3.136
2019-06-10,3.105
2019-06-17,3.07
2019-06-24,3.043
2019-07-01,3.042
2019-07-08,3.055
2019-07-15,3.051
2019-07-22,3.0439999999999996
2019-07-29,3.034
2019-08-05,3.032
2019-08-12,3.011
2019-08-19,2.9939999999999998
2019-08-26,2.983
2019-09-02,2.9760000000000004
2019-09-09,2.971
2019-09-16,2.987
2019-09-23,3.0810000000000004
2019-09-30,3.0660000000000003
2019-10-07,3.0469999999999997
2019-10-14,3.051
2019-10-21,3.05
2019-10-28,3.0639999999999996
2019-11-04,3.062
2019-11-11,3.073
2019-11-18,3.074
2019-11-25,3.0660000000000003
2019-12-02,3.07
2019-12-09,3.049
2019-12-16,3.0460000000000003
2019-12-23,3.0410000000000004
2019-12-30,3.069
2020-01-06,3.0789999999999997
2020-01-13,3.0639999999999996
2020-01-20,3.037
2020-01-27,3.01
2020-02-03,2.9560000000000004
2020-02-10,2.91
2020-02-17,2.89
2020-02-24,2.8819999999999997
2020-03-02,2.8510000000000004
2020-03-09,2.8139999999999996
2020-03-16,2.733
2020-03-23,2.659
2020-03-30,2.5860000000000003
2020-04-06,2.548
2020-04-13,2.5069999999999997
2020-04-20,2.48
2020-04-27,2.437
2020-05-04,2.399
2020-05-11,2.394
2020-05-18,2.386
2020-05-25,2.39
2020-06-01,2.386
2020-06-08,2.396
2020-06-15,2.403
2020-06-22,2.425
2020-06-29,2.43
2020-07-06,2.437
2020-07-13,2.438
2020-07-20,2.4330000000000003
2020-07-27,2.427
2020-08-03,2.424
2020-08-10,2.428
2020-08-17,2.427
2020-08-24,2.426
2020-08-31,2.441
2020-09-07,2.435
2020-09-14,2.4219999999999997
2020-09-21,2.404
2020-09-28,2.394
2020-10-05,2.387
2020-10-12,2.395
2020-10-19,2.388
2020-10-26,2.385
2020-11-02,2.372
2020-11-09,2.383
2020-11-16,2.441
2020-11-23,2.4619999999999997
2020-11-30,2.502
2020-12-07,2.526
2020-12-14,2.559
2020-12-21,2.6189999999999998
2020-12-28,2.635
2021-01-04,2.64
2021-01-11,2.67
2021-01-18,2.696
2021-01-25,2.716
2021-02-01,2.738
2021-02-08,2.801
2021-02-15,2.8760000000000003
2021-02-22,2.9730000000000003
2021-03-01,3.072
2021-03-08,3.1430000000000002
2021-03-15,3.1910000000000003
2021-03-22,3.194
2021-03-29,3.161
2021-04-05,3.1439999999999997
2021-04-12,3.1289999999999996
2021-04-19,3.1239999999999997
2021-04-26,3.1239999999999997
2021-05-03,3.142
2021-05-10,3.1860000000000004
2021-05-17,3.2489999999999997
2021-05-24,3.253
2021-05-31,3.255
2021-06-07,3.2739999999999996
2021-06-14,3.286
2021-06-21,3.287
2021-06-28,3.3
